materialSampleID,occurrenceID,eventID,eventDate,eventDate2,eventDate3,basisOfRecord,recordedBy,identifiedBy,collectionCode,individualCount,sex,lifeStage,establishmentMeans,degreeOfEstablishment,occurrenceStatus,dateIdentified,identificationRemarks,scientificName,kingdom,taxonRank,nomenclaturalCode
"",ITG:MEMO: 00000101,ITG:MEMO:EVM17ATO003SEP26,2017-09-26/2017-10-24,2017-09-26,2017-10-24,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000111,ITG:MEMO:EVM17ACL004OKT12,2017-10-12/2017-10-12,2017-10-12,2017-10-12,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000121,ITG:MEMO:EVM17HAB016AUG21,2017-08-21/2017-09-04,2017-08-21,2017-09-04,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
M17HA01DR,ITG:MEMO:M17B0082,ITG:MEMO:EVM17HAB016OKT16,2017-10-16/2017-10-30,2017-10-16,2017-10-30,HumanObservation,ITM,Isra,ITG:Memo,1,female,adult,native,native,present,2018-01-11T00:00:00.000Z,"",Culex pipiens/torrentium,Animalia,species aggregate,ICZN
"",ITG:MEMO: 00000141,ITG:MEMO:EVM17ATO003OKT24,2017-10-24/2017-11-21,2017-10-24,2017-11-21,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000151,ITG:MEMO:EVM17ATO003AUG29,2017-08-29/2017-09-26,2017-08-29,2017-09-26,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000161,ITG:MEMO:EVM17ATO004AUG29,2017-08-29/2017-09-26,2017-08-29,2017-09-26,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000171,ITG:MEMO:EVM17ATO004SEP26,2017-09-26/2017-10-24,2017-09-26,2017-10-24,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000181,ITG:MEMO:EVM17AZL001OKT10,2017-10-10/2017-10-10,2017-10-10,2017-10-10,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000191,ITG:MEMO:EVM17ATO004OKT24,2017-10-24/2017-11-21,2017-10-24,2017-11-21,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000201,ITG:MEMO:EVM17ATO005OKT24,2017-10-24/2017-11-21,2017-10-24,2017-11-21,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000211,ITG:MEMO:EVM17HAB016OKT30,2017-10-30/2017-11-13,2017-10-30,2017-11-13,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000221,ITG:MEMO:EVM17HAB016SEP04,2017-09-04/2017-09-18,2017-09-04,2017-09-18,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
M17AT01AR,ITG:MEMO:M17O0034,ITG:MEMO:EVM17ATO005SEP26,2017-09-26/2017-10-24,2017-09-26,2017-10-24,HumanObservation,ITM,Adwine,ITG:Memo,14,"",egg,native,native,present,2017-11-21T00:00:00.000Z,2 rafts,Culex spp.,Animalia,genus,ICZN
"",ITG:MEMO: 00000241,ITG:MEMO:EVM18EUL005MAR23,2018-03-23/2018-03-23,2018-03-23,2018-03-23,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
M17AT01AR,ITG:MEMO:M17O0049,ITG:MEMO:EVM17ATO005AUG29,2017-08-29/2017-09-26,2017-08-29,2017-09-26,HumanObservation,ITM,Adwine,ITG:Memo,10,"",egg,native,native,present,2017-10-02T23:00:00.000Z,1 empty raft,Culex spp.,Animalia,genus,ICZN
"",ITG:MEMO: 00000261,ITG:MEMO:EVM17ATO006AUG29,2017-08-29/2017-09-26,2017-08-29,2017-09-26,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
M17BA01AR,ITG:MEMO:M17L0219,ITG:MEMO:EVM17BAL001OKT13,2017-10-13/2017-10-13,2017-10-13,2017-10-13,HumanObservation,ITM,Isra,ITG:Memo,33,"",larva,native,native,present,2018-01-15T00:00:00.000Z,4th (32) & 3rd (1) instar,Culex pipiens/torrentium,Animalia,species aggregate,ICZN
M17BA01AR,ITG:MEMO:M17L0220,ITG:MEMO:EVM17BAL001OKT13,2017-10-13/2017-10-13,2017-10-13,2017-10-13,HumanObservation,ITM,Isra,ITG:Memo,7,"",larva,native,native,present,2018-01-15T00:00:00.000Z,"4th (1), 3rd (5) & 2nd (1) instar",Anopheles plumbeus,Animalia,species,ICZN
"",ITG:MEMO: 00000291,ITG:MEMO:EVM17ATO006OKT24,2017-10-24/2017-11-21,2017-10-24,2017-11-21,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000301,ITG:MEMO:EVM17ATO006SEP26,2017-09-26/2017-10-24,2017-09-26,2017-10-24,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000311,ITG:MEMO:EVM17ATO007SEP26,2017-09-26/2017-10-24,2017-09-26,2017-10-24,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000321,ITG:MEMO:EVM17ATO007AUG29,2017-08-29/2017-09-26,2017-08-29,2017-09-26,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000331,ITG:MEMO:EVM17ATO007OKT24,2017-10-24/2017-11-21,2017-10-24,2017-11-21,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
M17AT01AR,ITG:MEMO:M17O0032,ITG:MEMO:EVM17ATO008SEP26,2017-09-26/2017-10-24,2017-09-26,2017-10-24,HumanObservation,ITM,Adwine,ITG:Memo,1,"",egg,native,native,present,2017-11-21T00:00:00.000Z,"",Culex spp.,Animalia,genus,ICZN
M17AT01AR,ITG:MEMO:M17O0033,ITG:MEMO:EVM17ATO008SEP26,2017-09-26/2017-10-24,2017-09-26,2017-10-24,HumanObservation,ITM,Adwine,ITG:Memo,7,"",egg,native,native,present,2017-11-21T00:00:00.000Z,"",Anopheles spp.,Animalia,genus,ICZN
"",ITG:MEMO: 00000361,ITG:MEMO:EVM17ATO008AUG29,2017-08-29/2017-09-26,2017-08-29,2017-09-26,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
M17AT01AR,ITG:MEMO:M17O0042,ITG:MEMO:EVM17ATO008OKT24,2017-10-24/2017-11-21,2017-10-24,2017-11-21,HumanObservation,ITM,Isra,ITG:Memo,4,"",egg,native,native,present,2017-11-28T00:00:00.000Z,empty eggs,Anopheles spp.,Animalia,genus,ICZN
"",ITG:MEMO: 00000381,ITG:MEMO:EVM17ATO009AUG29,2017-08-29/2017-09-26,2017-08-29,2017-09-26,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000391,ITG:MEMO:EVM17ATO009OKT24,2017-10-24/2017-11-21,2017-10-24,2017-11-21,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000401,ITG:MEMO:EVM17ATO009SEP26,2017-09-26/2017-10-24,2017-09-26,2017-10-24,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000411,ITG:MEMO:EVM17ATO010SEP26,2017-09-26/2017-10-24,2017-09-26,2017-10-24,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000421,ITG:MEMO:EVM17ATO010AUG29,2017-08-29/2017-09-26,2017-08-29,2017-09-26,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000431,ITG:MEMO:EVM17ATO010OKT24,2017-10-24/2017-11-21,2017-10-24,2017-11-21,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000441,ITG:MEMO:EVM17ABO011OKT24,2017-10-24/2017-11-21,2017-10-24,2017-11-21,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000451,ITG:MEMO:EVM17ABO011SEP26,2017-09-26/2017-10-24,2017-09-26,2017-10-24,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000461,ITG:MEMO:EVM17ABO011AUG29,2017-08-29/2017-09-26,2017-08-29,2017-09-26,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000471,ITG:MEMO:EVM17ABO012AUG29,2017-08-29/2017-09-26,2017-08-29,2017-09-26,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000481,ITG:MEMO:EVM17ABO012OKT24,2017-10-24/2017-11-21,2017-10-24,2017-11-21,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000491,ITG:MEMO:EVM17ABO012SEP26,2017-09-26/2017-10-24,2017-09-26,2017-10-24,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000501,ITG:MEMO:EVM17ABO013OKT24,2017-10-24/2017-11-21,2017-10-24,2017-11-21,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000511,ITG:MEMO:EVM17ABO013AUG29,2017-08-29/2017-09-26,2017-08-29,2017-09-26,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000521,ITG:MEMO:EVM17ABO013SEP26,2017-09-26/2017-10-24,2017-09-26,2017-10-24,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
M17HA01DR,ITG:MEMO:M17B0033,ITG:MEMO:EVM17HAB016OKT02,2017-10-02/2017-10-16,2017-10-02,2017-10-16,HumanObservation,ITM,Isra,ITG:Memo,1,female,adult,native,native,present,2017-12-05T00:00:00.000Z,"",Culex pipiens/torrentium,Animalia,species aggregate,ICZN
M17HA01DR,ITG:MEMO:M17B0021,ITG:MEMO:EVM17HAB016SEP18,2017-09-18/2017-10-02,2017-09-18,2017-10-02,HumanObservation,ITM,Isra,ITG:Memo,1,female,adult,native,native,present,2017-11-30T00:00:00.000Z,"",Culex pipiens/torrentium,Animalia,species aggregate,ICZN
M17Molec01DR,ITG:MEMO:M17B0083,ITG:MEMO:EVM17HAB016OKT16,2017-10-16/2017-10-30,2017-10-16,2017-10-30,HumanObservation,ITM,Isra,ITG:Memo,1,female,adult,introduced,established,present,2018-01-11T00:00:00.000Z,B3 M17Molec01DR,Aedes japonicus,Animalia,species,ICZN
M17Molec01DR,ITG:MEMO:M17B0084,ITG:MEMO:EVM17HAB016OKT16,2017-10-16/2017-10-30,2017-10-16,2017-10-30,HumanObservation,ITM,Isra,ITG:Memo,1,female,adult,introduced,established,present,2018-01-11T00:00:00.000Z,B4 M17Molec01DR,Aedes japonicus,Animalia,species,ICZN
M17Molec01DR,ITG:MEMO:M17B0034,ITG:MEMO:EVM17HAB016OKT02,2017-10-02/2017-10-16,2017-10-02,2017-10-16,HumanObservation,ITM,Isra,ITG:Memo,1,female,adult,introduced,established,present,2017-12-05T00:00:00.000Z,A5,Aedes japonicus,Animalia,species,ICZN
"",ITG:MEMO: 00000581,ITG:MEMO:EVM17ABO014AUG29,2017-08-29/2017-09-26,2017-08-29,2017-09-26,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000591,ITG:MEMO:EVM17ABO014OKT24,2017-10-24/2017-11-21,2017-10-24,2017-11-21,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
M17Molec01DR,ITG:MEMO:M17B0035,ITG:MEMO:EVM17HAB016OKT02,2017-10-02/2017-10-16,2017-10-02,2017-10-16,HumanObservation,ITM,Isra,ITG:Memo,1,female,adult,introduced,established,present,2017-12-05T00:00:00.000Z,A6,Aedes japonicus,Animalia,species,ICZN
M17SP01DR,ITG:MEMO:M17B0057,ITG:MEMO:EVM17SPB017OKT16,2017-10-16/2017-10-30,2017-10-16,2017-10-30,HumanObservation,ITM,Isra,ITG:Memo,2,female,adult,native,native,present,2017-12-12T00:00:00.000Z,few legs,Culex pipiens/torrentium,Animalia,species aggregate,ICZN
M17SP01DR,ITG:MEMO:M17B0058,ITG:MEMO:EVM17SPB017OKT16,2017-10-16/2017-10-30,2017-10-16,2017-10-30,HumanObservation,ITM,Isra,ITG:Memo,1,female,adult,native,native,present,2017-12-12T00:00:00.000Z,no legs,Anopheles plumbeus,Animalia,species,ICZN
M17SP01DR,ITG:MEMO:M17B0022,ITG:MEMO:EVM17SPB017AUG21,2017-08-21/2017-09-04,2017-08-21,2017-09-04,HumanObservation,ITM,Isra,ITG:Memo,4,female,adult,native,native,present,2017-11-30T00:00:00.000Z,"",Anopheles plumbeus,Animalia,species,ICZN
M17SP01DR,ITG:MEMO:M17B0023,ITG:MEMO:EVM17SPB017AUG21,2017-08-21/2017-09-04,2017-08-21,2017-09-04,HumanObservation,ITM,Isra,ITG:Memo,2,female,adult,native,native,present,2017-11-30T00:00:00.000Z,"",Culex pipiens/torrentium,Animalia,species aggregate,ICZN
KBIN,ITG:MEMO:M17B0024,ITG:MEMO:EVM17SPB017AUG21,2017-08-21/2017-09-04,2017-08-21,2017-09-04,HumanObservation,ITM,Isra,ITG:Memo,1,male,adult,native,native,present,2017-11-30T00:00:00.000Z,"A3, few scales and legs M17Molec01DR ",Aedes geniculatus,Animalia,species,ICZN
M17SP01DR,ITG:MEMO:M17B0025,ITG:MEMO:EVM17SPB017SEP04,2017-09-04/2017-09-18,2017-09-04,2017-09-18,HumanObservation,ITM,Isra,ITG:Memo,1,female,adult,native,native,present,2017-11-30T00:00:00.000Z,"",Culex pipiens/torrentium,Animalia,species aggregate,ICZN
M17SP01DR,ITG:MEMO:M17B0078,ITG:MEMO:EVM17SPB017NOV13,2017-11-13/2017-11-27,2017-11-13,2017-11-27,HumanObservation,ITM,Isra,ITG:Memo,1,female,adult,native,native,present,2018-01-09T00:00:00.000Z,"",Culex pipiens/torrentium,Animalia,species aggregate,ICZN
M17SP01DR,ITG:MEMO:M17B0004,ITG:MEMO:EVM17SPB017OKT30,2017-10-30/2017-11-13,2017-10-30,2017-11-13,HumanObservation,ITM,Isra,ITG:Memo,7,male,adult,native,native,present,2017-11-16T00:00:00.000Z,"",Culex pipiens/torrentium,Animalia,species aggregate,ICZN
M17SP01DR,ITG:MEMO:M17B0005,ITG:MEMO:EVM17SPB017OKT30,2017-10-30/2017-11-13,2017-10-30,2017-11-13,HumanObservation,ITM,Isra,ITG:Memo,2,female,adult,native,native,present,2017-11-16T00:00:00.000Z,"",Culex pipiens/torrentium,Animalia,species aggregate,ICZN
M17SP01DR,ITG:MEMO:M17B0026,ITG:MEMO:EVM17SPB017SEP18,2017-09-18/2017-10-02,2017-09-18,2017-10-02,HumanObservation,ITM,Isra,ITG:Memo,6,female,adult,native,native,present,2017-11-30T00:00:00.000Z,1 very broken,Culex pipiens/torrentium,Animalia,species aggregate,ICZN
KBIN,ITG:MEMO:M17B0027,ITG:MEMO:EVM17SPB017SEP18,2017-09-18/2017-10-02,2017-09-18,2017-10-02,HumanObservation,ITM,Isra,ITG:Memo,1,female,adult,native,native,present,2017-11-30T00:00:00.000Z,"",Culex pipiens/torrentium,Animalia,species aggregate,ICZN
M17SP01DR,ITG:MEMO:M17B0039,ITG:MEMO:EVM17SPB017OKT02,2017-10-02/2017-10-16,2017-10-02,2017-10-16,HumanObservation,ITM,Isra,ITG:Memo,1,female,adult,native,native,present,2017-12-07T00:00:00.000Z,"",Culex pipiens/torrentium,Animalia,species aggregate,ICZN
"",ITG:MEMO: 00000731,ITG:MEMO:EVM17ABO014SEP26,2017-09-26/2017-10-24,2017-09-26,2017-10-24,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
KBIN,ITG:MEMO:M17B0040,ITG:MEMO:EVM17SPB017OKT02,2017-10-02/2017-10-16,2017-10-02,2017-10-16,HumanObservation,ITM,Isra,ITG:Memo,1,male,adult,native,native,present,2017-12-07T00:00:00.000Z,M17SP01DR,Culex pipiens/torrentium,Animalia,species aggregate,ICZN
M17HA01AR,ITG:MEMO:M17L0049,ITG:MEMO:EVM17HAL001SEP04,2017-09-04/2017-09-04,2017-09-04,2017-09-04,HumanObservation,ITM,Isra,ITG:Memo,6,"",larva,native,native,present,2017-11-16T00:00:00.000Z,2nd and 3rd instar,Culex pipiens/torrentium,Animalia,species aggregate,ICZN
M17SP01AR,ITG:MEMO:M17L0004,ITG:MEMO:EVM17SPL001OKT16,2017-10-16/2017-10-16,2017-10-16,2017-10-16,HumanObservation,ITM,Isra,ITG:Memo,8,"",larva,native,native,present,2017-12-18T00:00:00.000Z,"4th instar, most already dead",Culiseta annulata,Animalia,species,ICZN
M17SP01AR,ITG:MEMO:M17L0068,ITG:MEMO:EVM17SPL001OKT16,2017-10-16/2017-10-16,2017-10-16,2017-10-16,HumanObservation,ITM,Isra,ITG:Memo,31,"",larva,native,native,present,2017-12-18T00:00:00.000Z,"2nd instar, most already dead",Culiseta spp.,Animalia,genus,ICZN
M17SP01AR,ITG:MEMO:M17L0069,ITG:MEMO:EVM17SPL001OKT16,2017-10-16/2017-10-16,2017-10-16,2017-10-16,HumanObservation,ITM,Isra,ITG:Memo,9,"",larva,native,native,present,2017-12-18T00:00:00.000Z,"3rd instar, most already dead",Culiseta annulata,Animalia,species,ICZN
KBIN,ITG:MEMO:M17L0070,ITG:MEMO:EVM17SPL001OKT16,2017-10-16/2017-10-16,2017-10-16,2017-10-16,HumanObservation,ITM,Isra,ITG:Memo,1,"",larva,native,native,present,2017-12-18T00:00:00.000Z,4th instar M17SP01AR  ,Aedes geniculatus,Animalia,species,ICZN
M19Molec17AR,ITG:MEMO:M17L0234,ITG:MEMO:EVM17PAL002OKT10,2017-10-10/2017-10-10,2017-10-10,2017-10-10,HumanObservation,ITM,Isra,ITG:Memo,1,"",larva,native,native,present,2018-01-16T00:00:00.000Z,B8 AN MAC 3rd instar?,Anopheles maculipennis s.l.,Animalia,species,ICZN
KBIN,ITG:MEMO:M17L0235,ITG:MEMO:EVM17PAL002OKT10,2017-10-10/2017-10-10,2017-10-10,2017-10-10,HumanObservation,ITM,Isra,ITG:Memo,1,"",larva,native,native,present,2018-01-16T00:00:00.000Z,3rd instar?,Anopheles maculipennis s.l.,Animalia,species,ICZN
M17Molec01AR,ITG:MEMO:M17L0236,ITG:MEMO:EVM17PAL002OKT10,2017-10-10/2017-10-10,2017-10-10,2017-10-10,HumanObservation,ITM,Isra,ITG:Memo,1,"",larva,native,native,present,2018-01-16T00:00:00.000Z,"E5, 3rd instar? M17Molec01AR",Anopheles daciae,Animalia,species,ICZN
M17SP01AR,ITG:MEMO:M17L0071,ITG:MEMO:EVM17SPL001OKT16,2017-10-16/2017-10-16,2017-10-16,2017-10-16,HumanObservation,ITM,Isra,ITG:Memo,47,"",larva,native,native,present,2017-12-18T00:00:00.000Z,"a lot of dead larvae, mixed instars",Culex pipiens/torrentium,Animalia,species aggregate,ICZN
M17SP01AR,ITG:MEMO:M17L0072,ITG:MEMO:EVM17SPL001OKT16,2017-10-16/2017-10-16,2017-10-16,2017-10-16,HumanObservation,ITM,Isra,ITG:Memo,6,"",larva,native,native,present,2017-12-18T00:00:00.000Z,"4th, 3rd and 2nd instar",Anopheles plumbeus,Animalia,species,ICZN
M17SP01AR,ITG:MEMO:M17L0241,ITG:MEMO:EVM17SPL002OKT16,2017-10-16/2017-10-16,2017-10-16,2017-10-16,HumanObservation,ITM,Isra,ITG:Memo,36,"",larva,native,native,present,2018-01-16T00:00:00.000Z,4th instar,Culex pipiens/torrentium,Animalia,species aggregate,ICZN
M17SP01AR,ITG:MEMO:M17L0242,ITG:MEMO:EVM17SPL002OKT16,2017-10-16/2017-10-16,2017-10-16,2017-10-16,HumanObservation,ITM,Isra,ITG:Memo,10,"",larva,native,native,present,2018-01-16T00:00:00.000Z,3rd instar,Culex pipiens/torrentium,Animalia,species aggregate,ICZN
M17SP01AR,ITG:MEMO:M17L0243,ITG:MEMO:EVM17SPL002OKT16,2017-10-16/2017-10-16,2017-10-16,2017-10-16,HumanObservation,ITM,Isra,ITG:Memo,1,"",larva,native,native,present,2018-01-16T00:00:00.000Z,2nd instar,Culex pipiens/torrentium,Animalia,species aggregate,ICZN
KBIN,ITG:MEMO:M17L0244,ITG:MEMO:EVM17SPL002OKT16,2017-10-16/2017-10-16,2017-10-16,2017-10-16,HumanObservation,ITM,Isra,ITG:Memo,1,"",larva,native,native,present,2018-01-16T00:00:00.000Z,4th instar,Culex pipiens/torrentium,Animalia,species aggregate,ICZN
KBIN,ITG:MEMO:M17L0245,ITG:MEMO:EVM17SPL002OKT16,2017-10-16/2017-10-16,2017-10-16,2017-10-16,HumanObservation,ITM,Isra,ITG:Memo,1,"",larva,native,native,present,2018-01-16T00:00:00.000Z,4th instar,Culex pipiens/torrentium,Animalia,species aggregate,ICZN
KBIN,ITG:MEMO:M17L0246,ITG:MEMO:EVM17SPL002OKT16,2017-10-16/2017-10-16,2017-10-16,2017-10-16,HumanObservation,ITM,Isra,ITG:Memo,1,"",larva,native,native,present,2018-01-16T00:00:00.000Z,3rd instar,Culex pipiens/torrentium,Animalia,species aggregate,ICZN
KBIN,ITG:MEMO:M17L0247,ITG:MEMO:EVM17SPL002OKT16,2017-10-16/2017-10-16,2017-10-16,2017-10-16,HumanObservation,ITM,Isra,ITG:Memo,1,"",larva,native,native,present,2018-01-16T00:00:00.000Z,2nd instar,Culex pipiens/torrentium,Animalia,species aggregate,ICZN
M17HA01AR,ITG:MEMO:M17L0050,ITG:MEMO:EVM17HAL002SEP04,2017-09-04/2017-09-04,2017-09-04,2017-09-04,HumanObservation,ITM,Isra,ITG:Memo,12,"",larva,native,native,present,2017-11-16T00:00:00.000Z,4th instar,Culex pipiens/torrentium,Animalia,species aggregate,ICZN
M17HA01AR,ITG:MEMO:M17L0051,ITG:MEMO:EVM17HAL002SEP04,2017-09-04/2017-09-04,2017-09-04,2017-09-04,HumanObservation,ITM,Isra,ITG:Memo,3,"",larva,native,native,present,2017-11-16T00:00:00.000Z,3rd instar,Culex pipiens/torrentium,Animalia,species aggregate,ICZN
"",ITG:MEMO: 00000941,ITG:MEMO:EVM17ABO015SEP26,2017-09-26/2017-10-24,2017-09-26,2017-10-24,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
KBIN,ITG:MEMO:M17L0052,ITG:MEMO:EVM17HAL002SEP04,2017-09-04/2017-09-04,2017-09-04,2017-09-04,HumanObservation,ITM,Isra,ITG:Memo,1,"",larva,native,native,present,2017-11-16T00:00:00.000Z,4th instar,Culex pipiens/torrentium,Animalia,species aggregate,ICZN
"",ITG:MEMO: 00000961,ITG:MEMO:EVM17ABO015AUG29,2017-08-29/2017-09-26,2017-08-29,2017-09-26,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000971,ITG:MEMO:EVM17ABO015OKT24,2017-10-24/2017-11-21,2017-10-24,2017-11-21,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
